TipoCredor,ClassificacaoCredor,NacionalOuInternacional,DepositoJudicialCredor,DividaTotalCredor,DividaAdiantadaCredor,PrimeiraParcelaAdiantamentoCredor,SegundaParcelaAdiantamentoCredor,RestantePagoConformePlanoCredor,ModoPagamento,PrecisaAdvogado,TipoProcesso,KitProcesso,ParticipouMediacao,Resultado
2.0,1.0,1.0,1.0,61595.0,50000.0,45000.0,5000.0,11595.0,3.0,2.0,2.0,19.0,2.0,2
2.0,1.0,1.0,2.0,73039.0,50000.0,45000.0,5000.0,23039.0,2.0,2.0,2.0,19.0,1.0,2
2.0,1.0,1.0,2.0,56315.0,50000.0,45000.0,5000.0,6315.0,2.0,2.0,2.0,19.0,1.0,2
2.0,1.0,1.0,2.0,56315.0,50000.0,45000.0,5000.0,6315.0,2.0,2.0,2.0,19.0,1.0,2
2.0,1.0,1.0,2.0,56315.0,50000.0,45000.0,5000.0,6315.0,2.0,2.0,2.0,19.0,1.0,2
2.0,1.0,1.0,1.0,11000.0,11000.0,9900.0,1100.0,0.0,3.0,2.0,2.0,19.0,2.0,2
2.0,1.0,1.0,1.0,22000.0,22000.0,19800.0,2200.0,0.0,3.0,2.0,2.0,19.0,2.0,2
2.0,1.0,1.0,2.0,2064.0,2064.0,1857.0,206.0,0.0,2.0,2.0,2.0,19.0,1.0,2
2.0,1.0,1.0,2.0,2064.0,2064.0,1857.0,206.0,0.0,2.0,2.0,2.0,19.0,1.0,2
2.0,1.0,1.0,2.0,2064.0,2064.0,1857.0,206.0,0.0,2.0,2.0,2.0,19.0,1.0,2
2.0,1.0,1.0,2.0,2064.0,2064.0,1857.0,206.0,0.0,2.0,2.0,2.0,19.0,1.0,2
2.0,1.0,1.0,2.0,2064.0,2064.0,1857.0,206.0,0.0,2.0,2.0,2.0,19.0,1.0,2
2.0,1.0,1.0,2.0,2064.0,2064.0,1857.0,206.0,0.0,2.0,2.0,2.0,19.0,1.0,2
2.0,1.0,1.0,2.0,2064.0,2064.0,1857.0,206.0,0.0,2.0,2.0,2.0,19.0,1.0,2
2.0,1.0,1.0,2.0,2064.0,2064.0,1857.0,206.0,0.0,2.0,2.0,2.0,19.0,1.0,2
2.0,1.0,1.0,2.0,2064.0,2064.0,1857.0,206.0,0.0,2.0,2.0,2.0,19.0,1.0,2
2.0,1.0,1.0,1.0,738952.0,50000.0,45000.0,5000.0,688952.0,3.0,2.0,2.0,23.0,2.0,2
2.0,1.0,1.0,1.0,269399.0,50000.0,45000.0,5000.0,219399.0,3.0,2.0,2.0,23.0,2.0,2
2.0,1.0,1.0,2.0,64700.0,50000.0,45000.0,5000.0,14700.0,2.0,2.0,2.0,21.0,2.0,2
2.0,1.0,1.0,1.0,35200.0,35200.0,31680.0,3520.0,0.0,3.0,2.0,2.0,21.0,2.0,2
2.0,1.0,1.0,2.0,3830.0,3830.0,3447.0,383.0,0.0,2.0,2.0,2.0,21.0,2.0,2
2.0,2.0,1.0,1.0,45858.0,45858.0,41273.0,4586.0,0.0,3.0,2.0,2.0,1.0,1.0,2
2.0,2.0,1.0,1.0,45858.0,45858.0,41273.0,4586.0,0.0,3.0,2.0,2.0,1.0,1.0,2
2.0,2.0,1.0,1.0,45858.0,45858.0,41273.0,4586.0,0.0,3.0,2.0,2.0,1.0,1.0,2
2.0,2.0,1.0,2.0,13020.0,13020.0,11718.0,1302.0,0.0,2.0,2.0,2.0,12.0,2.0,2
2.0,1.0,1.0,1.0,16150118.0,50000.0,45000.0,5000.0,16100118.0,3.0,2.0,2.0,23.0,2.0,2
1.0,1.0,1.0,2.0,5725.0,5725.0,5152.0,572.0,0.0,1.0,2.0,2.0,26.0,2.0,2
1.0,1.0,1.0,2.0,1424054.0,50000.0,45000.0,5000.0,1374054.0,1.0,2.0,2.0,26.0,2.0,2
1.0,3.0,1.0,2.0,4410.0,4410.0,3969.0,441.0,0.0,1.0,2.0,2.0,26.0,2.0,2
2.0,1.0,1.0,2.0,1550.0,1550.0,1395.0,155.0,0.0,2.0,2.0,2.0,6.0,2.0,2
2.0,1.0,1.0,2.0,1550.0,1550.0,1395.0,155.0,0.0,2.0,2.0,2.0,8.0,2.0,2
2.0,1.0,1.0,2.0,2078.0,2078.0,1870.0,208.0,0.0,2.0,1.0,3.0,19.0,2.0,2
1.0,1.0,1.0,2.0,408850.0,50000.0,45000.0,5000.0,358850.0,1.0,2.0,1.0,26.0,2.0,2
2.0,2.0,1.0,1.0,45811.0,45811.0,41230.0,4581.0,0.0,3.0,1.0,5.0,2.0,2.0,2
2.0,2.0,1.0,1.0,24738.0,24738.0,22264.0,2474.0,0.0,3.0,1.0,5.0,2.0,2.0,2
2.0,2.0,1.0,1.0,6914.0,6914.0,6222.0,691.0,0.0,3.0,1.0,5.0,12.0,2.0,2
2.0,2.0,1.0,1.0,28054.0,28054.0,25249.0,2805.0,0.0,3.0,1.0,5.0,2.0,2.0,2
2.0,1.0,1.0,2.0,1553.0,1553.0,1398.0,155.0,0.0,2.0,1.0,2.0,6.0,2.0,2
2.0,2.0,1.0,2.0,20978.0,20978.0,18881.0,2098.0,0.0,2.0,1.0,5.0,12.0,1.0,2
2.0,1.0,1.0,2.0,2376.0,2376.0,2138.0,238.0,0.0,2.0,1.0,4.0,9.0,2.0,2
2.0,1.0,1.0,2.0,1300.0,1300.0,1170.0,130.0,0.0,2.0,1.0,2.0,19.0,2.0,2
1.0,1.0,1.0,2.0,8013631.0,50000.0,45000.0,5000.0,7963631.0,1.0,2.0,1.0,26.0,2.0,2
2.0,1.0,1.0,2.0,115.0,115.0,104.0,12.0,0.0,2.0,2.0,2.0,17.0,2.0,2
2.0,2.0,1.0,1.0,11730.0,11730.0,10557.0,1173.0,0.0,3.0,1.0,5.0,2.0,2.0,2
2.0,1.0,1.0,2.0,4208.0,4208.0,3787.0,421.0,0.0,2.0,1.0,2.0,19.0,2.0,2
2.0,1.0,1.0,2.0,3516.0,3516.0,3165.0,352.0,0.0,2.0,1.0,3.0,19.0,2.0,2
2.0,1.0,1.0,2.0,1769.0,1769.0,1592.0,177.0,0.0,2.0,1.0,3.0,6.0,2.0,2
2.0,1.0,1.0,2.0,1945.0,1945.0,1751.0,195.0,0.0,2.0,1.0,3.0,6.0,2.0,2
1.0,1.0,1.0,2.0,394572.0,50000.0,45000.0,5000.0,344572.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,2061579.0,50000.0,45000.0,5000.0,2011579.0,1.0,2.0,1.0,26.0,1.0,2
1.0,1.0,1.0,2.0,8604.0,8604.0,7743.0,860.0,0.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,7000.0,7000.0,6300.0,700.0,0.0,1.0,2.0,1.0,26.0,2.0,2
2.0,2.0,1.0,1.0,9242.0,9242.0,8318.0,924.0,0.0,3.0,1.0,5.0,12.0,2.0,2
2.0,2.0,1.0,1.0,10615.0,10615.0,9554.0,1062.0,0.0,3.0,1.0,5.0,2.0,2.0,2
2.0,2.0,1.0,1.0,10615.0,10615.0,9554.0,1062.0,0.0,3.0,1.0,5.0,2.0,2.0,2
2.0,1.0,1.0,2.0,100.0,100.0,90.0,10.0,0.0,2.0,1.0,2.0,6.0,2.0,2
2.0,1.0,1.0,2.0,2152.0,2152.0,1937.0,215.0,0.0,2.0,1.0,3.0,19.0,2.0,2
1.0,1.0,1.0,2.0,40000.0,40000.0,36000.0,4000.0,0.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,4135754.0,50000.0,45000.0,5000.0,4085754.0,1.0,2.0,1.0,26.0,1.0,2
1.0,1.0,1.0,2.0,882123.0,50000.0,45000.0,5000.0,832123.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,50275.0,50000.0,45000.0,5000.0,275.0,1.0,2.0,1.0,26.0,2.0,2
2.0,2.0,1.0,2.0,7411.0,7411.0,6670.0,741.0,0.0,2.0,1.0,5.0,12.0,2.0,2
2.0,1.0,1.0,2.0,1000.0,1000.0,900.0,100.0,0.0,2.0,1.0,2.0,19.0,2.0,2
2.0,1.0,1.0,2.0,15.0,15.0,14.0,2.0,0.0,2.0,1.0,2.0,6.0,2.0,2
1.0,1.0,1.0,2.0,588610.0,50000.0,45000.0,5000.0,538610.0,1.0,2.0,1.0,26.0,2.0,2
2.0,2.0,1.0,1.0,58778.0,50000.0,45000.0,5000.0,8778.0,3.0,1.0,5.0,12.0,2.0,2
2.0,1.0,1.0,2.0,1500.0,1500.0,1350.0,150.0,0.0,2.0,1.0,2.0,19.0,2.0,2
2.0,1.0,1.0,2.0,2208.0,2208.0,1987.0,221.0,0.0,2.0,1.0,2.0,19.0,2.0,2
2.0,1.0,1.0,2.0,800.0,800.0,720.0,80.0,0.0,2.0,2.0,2.0,8.0,2.0,2
2.0,1.0,1.0,2.0,1267.0,1267.0,1140.0,127.0,0.0,2.0,1.0,3.0,19.0,2.0,2
2.0,1.0,1.0,2.0,1556.0,1556.0,1400.0,156.0,0.0,2.0,1.0,2.0,19.0,2.0,2
1.0,1.0,1.0,2.0,10161.0,10161.0,9145.0,1016.0,0.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,56161049.0,50000.0,45000.0,5000.0,56111049.0,1.0,2.0,1.0,26.0,2.0,2
2.0,2.0,1.0,1.0,16849.0,16849.0,15164.0,1685.0,0.0,3.0,1.0,5.0,12.0,2.0,2
2.0,1.0,1.0,2.0,2449.0,2449.0,2204.0,245.0,0.0,2.0,1.0,3.0,19.0,2.0,2
1.0,1.0,1.0,2.0,400.0,400.0,360.0,40.0,0.0,1.0,2.0,1.0,25.0,2.0,2
1.0,1.0,1.0,2.0,1243357.0,50000.0,45000.0,5000.0,1193357.0,1.0,2.0,1.0,26.0,2.0,2
2.0,1.0,1.0,2.0,3083.0,3083.0,2775.0,308.0,0.0,2.0,1.0,2.0,19.0,2.0,2
2.0,1.0,1.0,2.0,3083.0,3083.0,2775.0,308.0,0.0,2.0,1.0,2.0,19.0,2.0,2
2.0,1.0,1.0,2.0,7513.0,7513.0,6761.0,751.0,0.0,2.0,1.0,3.0,6.0,2.0,2
2.0,1.0,1.0,1.0,4717.0,4717.0,4245.0,472.0,0.0,3.0,1.0,3.0,4.0,2.0,2
2.0,1.0,1.0,1.0,2000.0,2000.0,1800.0,200.0,0.0,3.0,1.0,4.0,9.0,2.0,2
2.0,2.0,1.0,1.0,10710.0,10710.0,9639.0,1071.0,0.0,3.0,1.0,5.0,12.0,2.0,2
1.0,2.0,1.0,2.0,90000.0,50000.0,45000.0,5000.0,40000.0,1.0,2.0,1.0,26.0,2.0,2
2.0,2.0,1.0,1.0,47377.0,47377.0,42639.0,4738.0,0.0,3.0,1.0,5.0,12.0,2.0,2
1.0,1.0,1.0,2.0,5920024.0,50000.0,45000.0,5000.0,5870024.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,3965.0,3965.0,3569.0,397.0,0.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,130002.0,50000.0,45000.0,5000.0,80002.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,2001546.0,50000.0,45000.0,5000.0,1951546.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,5615956.0,50000.0,45000.0,5000.0,5565956.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,1418445.0,50000.0,45000.0,5000.0,1368445.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,14391206.0,50000.0,45000.0,5000.0,14341206.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,11325816.0,50000.0,45000.0,5000.0,11275816.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,4166257.0,50000.0,45000.0,5000.0,4116257.0,1.0,2.0,1.0,26.0,2.0,2
