TipoCredor,ClassificacaoCredor,NacionalOuInternacional,DepositoJudicialCredor,DividaTotalCredor,DividaAdiantadaCredor,PrimeiraParcelaAdiantamentoCredor,SegundaParcelaAdiantamentoCredor,RestantePagoConformePlanoCredor,ModoPagamento,PrecisaAdvogado,TipoProcesso,KitProcesso,ParticipouMediacao,Resultado
2.00,1.00,1.00,0.00,5841.00,5841.00,5257.00,584.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,21377.00,21377.00,19239.00,2138.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,138.00,138.00,124.00,14.00,0.00,2.00,1.00,2.00,19.00,0.00,0
2.00,1.00,1.00,0.00,6454.00,6454.00,5809.00,645.00,0.00,2.00,1.00,2.00,19.00,0.00,1
2.00,1.00,1.00,0.00,5413.00,5413.00,4872.00,541.00,0.00,2.00,0.00,3.00,21.00,0.00,0
2.00,1.00,1.00,0.00,6276.00,6276.00,5649.00,628.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,11384.00,11384.00,10246.00,1138.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,11499.00,11499.00,10349.00,1150.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,6138.00,6138.00,5524.00,614.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,5050.00,5050.00,4545.00,505.00,0.00,2.00,1.00,2.00,19.00,0.00,1
2.00,1.00,1.00,0.00,6139.00,6139.00,5525.00,614.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,9994.00,9994.00,8995.00,999.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,1303.00,1303.00,1172.00,130.00,0.00,2.00,0.00,3.00,21.00,0.00,0
2.00,1.00,1.00,0.00,8441.00,8441.00,7597.00,844.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,2428.00,2428.00,2186.00,243.00,0.00,2.00,1.00,3.00,19.00,0.00,0
2.00,1.00,1.00,0.00,3125.00,3125.00,2812.00,312.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,2294.00,2294.00,2064.00,229.00,0.00,2.00,0.00,3.00,21.00,0.00,1
2.00,1.00,1.00,0.00,567.00,567.00,510.00,57.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,9180.00,9180.00,8262.00,918.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,139.00,139.00,125.00,14.00,0.00,2.00,1.00,2.00,4.00,0.00,1
2.00,1.00,1.00,0.00,2433.00,2433.00,2190.00,243.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,3030.00,3030.00,2727.00,303.00,0.00,2.00,0.00,2.00,17.00,0.00,1
2.00,1.00,1.00,0.00,11870.00,11870.00,10683.00,1187.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,6035.00,6035.00,5431.00,603.00,0.00,2.00,0.00,3.00,17.00,0.00,1
2.00,1.00,1.00,0.00,8528.00,8528.00,7676.00,853.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,3080.00,3080.00,2772.00,308.00,0.00,2.00,1.00,3.00,6.00,0.00,0
2.00,1.00,1.00,0.00,8000.00,8000.00,7200.00,800.00,0.00,2.00,1.00,2.00,19.00,0.00,1
2.00,1.00,1.00,0.00,4007.00,4007.00,3606.00,401.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,8320.00,8320.00,7488.00,832.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,1000.00,1000.00,900.00,100.00,0.00,2.00,0.00,2.00,17.00,0.00,1
2.00,3.00,1.00,0.00,13148.00,13148.00,11833.00,1315.00,0.00,2.00,1.00,3.00,20.00,0.00,1
2.00,1.00,1.00,0.00,2060.00,2060.00,1854.00,206.00,0.00,2.00,0.00,2.00,3.00,0.00,1
2.00,1.00,1.00,0.00,2457.00,2457.00,2211.00,246.00,0.00,2.00,1.00,3.00,6.00,0.00,0
2.00,1.00,1.00,0.00,2636.00,2636.00,2372.00,264.00,0.00,2.00,1.00,3.00,20.00,0.00,1
2.00,1.00,1.00,0.00,4707.00,4707.00,4236.00,471.00,0.00,2.00,1.00,2.00,19.00,0.00,1
2.00,1.00,1.00,0.00,10152.00,10152.00,9137.00,1015.00,0.00,2.00,0.00,3.00,17.00,0.00,1
2.00,1.00,1.00,0.00,15102.00,15102.00,13592.00,1510.00,0.00,2.00,1.00,3.00,6.00,0.00,0
2.00,1.00,1.00,0.00,3180.00,3180.00,2862.00,318.00,0.00,2.00,1.00,2.00,19.00,0.00,1
2.00,1.00,1.00,0.00,11009.00,11009.00,9908.00,1101.00,0.00,2.00,1.00,3.00,4.00,0.00,1
2.00,1.00,1.00,0.00,3342.00,3342.00,3008.00,334.00,0.00,2.00,1.00,3.00,4.00,0.00,1
2.00,1.00,1.00,0.00,3037.00,3037.00,2734.00,304.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,2.00,1.00,0.00,35893.00,35893.00,32303.00,3589.00,0.00,2.00,1.00,5.00,12.00,0.00,1
2.00,2.00,1.00,0.00,35893.00,35893.00,32303.00,3589.00,0.00,2.00,1.00,5.00,12.00,0.00,1
2.00,1.00,1.00,0.00,9000.00,9000.00,8100.00,900.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,6213.00,6213.00,5592.00,621.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,179.00,179.00,161.00,18.00,0.00,2.00,1.00,2.00,6.00,0.00,1
